Country,Region,Date,Kilotons of Co2,Metric Tons Per Capita
Afghanistan,Asia,01-01-2019,6080.0,0.16
Albania,Europe,01-01-2019,4830.0,1.69
Algeria,Africa,01-01-2019,171250.0,4.01
Andorra,Europe,01-01-2019,500.0,6.55
Angola,Africa,01-01-2019,25210.0,0.78
Antigua And Barbuda,Americas,01-01-2019,520.0,5.65
Argentina,Americas,01-01-2019,168100.01,3.74
Armenia,Asia,01-01-2019,6170.0,2.19
Australia,Oceania,01-01-2019,386530.0,15.25
Austria,Europe,01-01-2019,64770.0,7.29
Azerbaijan,Asia,01-01-2019,35510.0,3.54
Bahamas,Americas,01-01-2019,2840.0,7.02
Bahrain,Asia,01-01-2019,33260.0,22.26
Bangladesh,Asia,01-01-2019,90740.0,0.55
Barbados,Americas,01-01-2019,1250.0,4.46
Belarus,Europe,01-01-2019,57670.0,6.12
Belgium,Europe,01-01-2019,93010.0,8.1
Belize,Americas,01-01-2019,640.0,1.64
Benin,Africa,01-01-2019,7300.0,0.59
Bhutan,Asia,01-01-2019,1050.0,1.37
Bolivia,Americas,01-01-2019,22340.0,1.9
Bosnia and Herz.,Europe,01-01-2019,21070.0,6.27
Botswana,Africa,01-01-2019,7250.0,2.9
Brazil,Americas,01-01-2019,434299.99,2.05
Brunei,Asia,01-01-2019,6990.0,15.96
Bulgaria,Europe,01-01-2019,39140.0,5.61
Burkina Faso,Africa,01-01-2019,5000.0,0.24
Burundi,Africa,01-01-2019,720.0,0.06
Cabo Verde,Africa,01-01-2019,650.0,1.13
Cambodia,Asia,01-01-2019,16180.0,1.0
Cameroon,Africa,01-01-2019,9430.0,0.37
Canada,Americas,01-01-2019,580210.02,15.43
Central African Rep.,Africa,01-01-2019,240.0,0.05
Chad,Africa,01-01-2019,2250.0,0.14
Chile,Americas,01-01-2019,91370.0,4.8
China,Asia,01-01-2019,10707219.73,7.61
Colombia,Americas,01-01-2019,81040.0,1.61
Comoros,Africa,01-01-2019,320.0,0.4
Costa Rica,Americas,01-01-2019,8240.0,1.62
Croatia,Europe,01-01-2019,16520.0,4.06
